"kcal","grasa","grasa_saturadas","azucar","proteinas","nombre_español","categoria","categoria_tag"
41,2.1,0.4,0.7,3.8,"SOJA Sin azúcares añadidos**","Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de légumineuses, Boissons sans sucre ajouté, Boissons végétales de soja, Boisson au soja nature enrichie en calcium, Boissons de soja nature non sucrées","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:unsweetened-beverages,en:soy-based-drinks,en:plain-soy-drink-fortified-with-calcium,en:unsweetened-plain-soy-based-drinks"
61,3,0.3,3.4,1.1,"","en:Haverdrink, en:Plantaardige drinks, en:Plantaardige zuivel alternatieven, en:Vegetarisch, en:vegan en plantaardig","en:haverdrink,en:plantaardige-drinks,en:plantaardige-zuivel-alternatieven,en:vegetarisch,en:vegan-en-plantaardig"
32,1.6,0,0,2.8,"Bebida de soja 0% azúcares","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Legume-based drinks, Soy-based drinks, Unsweetened plain soy-based drinks","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks,en:unsweetened-plain-soy-based-drinks"
39,0.5,0.1,3.4,1.1,"","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Unsweetened beverages, Oat-based drinks","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:unsweetened-beverages,en:oat-based-drinks"
61,3,0.3,3.4,1.1,"","en:Beverages and beverages preparations, Kasvipohjaiset ruoat ja juomat, Juomat, Kasvipohjaiset ruoat, Viljat ja perunat, en:Dairy substitutes, Viljat ja viljatuotteet, Maidon korvike, Kasvipohjaiset juomat, Kasvipohjaiset maidonkorvikkeet, Kasvimaidot, Kaurajuomat","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:cereals-and-potatoes,en:dairy-substitutes,en:cereals-and-their-products,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:cereal-based-drinks,en:oat-based-drinks"
71,2.8,0.5,4.9,6,"","Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Cafés, Boissons végétales de légumineuses, Boissons végétales de soja, Boissons au soja aromatisées sucrées enrichies en calcium, Boissons au soja aromatisées sucrées, Boissons avec sucre ajouté","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:coffees,en:legume-based-drinks,en:soy-based-drinks,en:flavoured-soy-drinks-enriched-in-calcium-with-sugar,en:soy-drinks-flavoured-with-sugar,en:sweetened-beverages"
56,1.9,0.3,5.6,3.4,"","Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de légumineuses, Boissons végétales de soja, Boissons avec sucre ajouté, Boissons végétales de soja à la vanille","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks,en:sweetened-beverages,en:vanilla-soy-based-drinks"
73,2.1,0.5,7.6,3.8,"","Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Substituts de produits laitiers, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de légumineuses, Boissons végétales de soja, Boissons végétales de soja au chocolat, Boissons avec sucre ajouté","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks,en:chocolate-soy-based-drinks,en:sweetened-beverages"
27,0,0,6.8,0,"","Getränke und Getränkezubereitungen, Getränke, Kohlensäurehaltige Getränke, Getränke mit Süßstoff, Erfrischungsgetränke, Gezuckerte Getränke","en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:sodas,en:sweetened-beverages"
28,1.9,1.7,2.1,0.3,"","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Coconut-based drinks","en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:coconut-based-drinks"
55,1.5,0.3,7,2.4,"","Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Legume-based drinks, Soy-based drinks","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks"
35,2,0.3,0.5,2.9,"Soja Maravillosa AdeS","Cibi e bevande a base vegetale, Bevande, Cibi a base vegetale, Legumi ed i loro prodotti, en:Dairy substitutes, Sostituto del latte, Bevande a base di piante, Bevande a base di frutta, Latte vegetale, Latte di legumi, en:Fruit and plant-milk beverages, Bevanda di soia, en:Fruit and soy beverages, en:Sweetened plain soy-based drinks","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:fruit-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:fruit-and-plant-milk-beverages,en:soy-based-drinks,en:fruit-and-soy-beverages,en:sweetened-plain-soy-based-drinks"
60,1.6,0.32,6.52,3,"","Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Legume-based drinks, Soy-based drinks","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks"
64,1.3,0.3,8.8,1.3,"","Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Legume-based drinks, Soy-based drinks, Chocolate soy-based drinks","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:legumes-and-their-products,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives,en:legume-based-drinks,en:soy-based-drinks,en:chocolate-soy-based-drinks"
