"kcal","grasa","grasa_saturadas","azucar","proteinas","nombre_español","categoria","categoria_tag"
62,3.5,2.1,4.5,3.2,"","Beverages, Dairies, Dairy drinks, Milks, Whole milks, Cow milks","en:beverages,en:dairies,en:dairy-drinks,en:milks,en:whole-milks,en:cow-milks"
62,3.5,2.4,4.5,3,"","Dairies, Milks, Whole milks, Cow milks","en:dairies,en:milks,en:whole-milks,en:cow-milks"
65,3.7,2.2,4.7,3.3,"","Produse lactate, Lăpturi, Laptele de vacă","en:dairies,en:milks,en:cow-milks"
50,2,1.2,4.8,3.3,"","Dairies, Milks, Homogenized milks, Semi-skimmed milks, UHT Milks, Cow milks, Semi-skimmed milk UHT","en:dairies,en:milks,en:homogenized-milks,en:semi-skimmed-milks,en:uht-milks,en:cow-milks,en:semi-skimmed-milk-uht"
62,3.5,0.8,4.5,3,"","Dairies, Milks, Cow milks","en:dairies,en:milks,en:cow-milks"
44,1.5,1,4.5,3.1,"","Dairies, Milks, Homogenized milks, Semi-skimmed milks, Pasteurised milks, Cow milks, Semi-skimmed pasteurised milk","en:dairies,en:milks,en:homogenized-milks,en:semi-skimmed-milks,en:pasteurised-milks,en:cow-milks,en:semi-skimmed-pasteurised-milk"
48,3.2,1,4.8,3.5,"","Dairies, Milks, Homogenized milks, Semi-skimmed milks, UHT Milks, Cow milks, Semi-skimmed UHT milk fortified with vitamins","en:dairies,en:milks,en:homogenized-milks,en:semi-skimmed-milks,en:uht-milks,en:cow-milks,en:semi-skimmed-uht-milk-fortified-with-vitamins"
37,0.5,0.1,5,3.6,"","Dairies, Milks, Skimmed milks, Whole milks, Cow milks","en:dairies,en:milks,en:skimmed-milks,en:whole-milks,en:cow-milks"
45,1.5,0.9,4.7,3.2,"","Dairies, Milks, Homogenized milks, UHT Milks, Cow milks","en:dairies,en:milks,en:homogenized-milks,en:uht-milks,en:cow-milks"
46,1.5,1,4.5,3.5,"","Zuivelproducten, Melk, Halfvolle melken, Koemelk","en:dairies,en:milks,en:semi-skimmed-milks,en:cow-milks"
44,1.5,1,4.5,3.1,"","Produits laitiers, Laits, Laits demi-écrémés, Laits de vache","en:dairies,en:milks,en:semi-skimmed-milks,en:cow-milks"
63,3.5,2.1,4.7,3.1,"","Dairies, Milks, Cow milks","en:dairies,en:milks,en:cow-milks"
